id,name,category,article,cta,signal,step,new_id,type,reward,line
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,1,"Hello, I found the article “Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com” and I would like to discuss it further."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,0,"Of course. I am here to discuss anything you want. First of all, what made you choose to read the article in the first place?"
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,1,I wanted to get informed about new ways to lose weight.
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,0,What was it that aroused your curiosity with this article?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,1,I am concerned about the reliability of the information.
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,0,What is it that is troubling you with this article?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,1,The lack of information.
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,0,Could you please explain to me the purpose of this article?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,1,"Yes, this article advertises a new diet product for weight loss."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,0,Have you read about this diet product in another source before?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,1,1,expert,1,"No, it’s the first time I am reading about it."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,0,Do you think that there is sufficient information about the product?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,1,"No, I don’t think so."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,0,Why do you think the article does not include sufficient information?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,1,"Perhaps, it wants to attract readers and influence their opinion."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,0,In what way do you assume that it could influence their opinion?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,1,"Maybe, it would encourage readers to find and purchase the product."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,0,Could you please elaborate on your opinion about this?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,1,I think that the article aims to create a fuss around this diet product that probably just launched into the market and wants to promote it so that people will purchase it.
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,0,Your view on this seems to the point. Has your view been influenced by something or someone?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,1,"No, it was my personal opinion."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,0,Do you consider this article to be credible?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,2,2,expert,1,I am not sure.
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,What would help you to ensure the credibility of this article?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,I guess I would like some guidance concerning the evidence that shows the credibility of an article.
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,It would be a good idea to search for relevant sources in the article to verify its authenticity.
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,Could you please explain to me how I can verify the authenticity of an article?
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,"You could check the information about the article, for example the date of publication, the author and the source (publisher/website)."
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"Yes, I can see that there is no author or date of publication, only the source, so I assume that the article is not authentic."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,Have you ever read an article from this source?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"No, I haven’t."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,Have you ever heard of this source before?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"No, I haven’t."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,You could also cross-reference the information you have from this article with other articles. Is there any information about the product that you can use to check other sources?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,Could you please guide me further in this?
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,Of course. Do you know the name or the manufacturer of this product?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"No, I don’t."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,Does it mention how long someone has to use this product to have results or how exactly it helps in weight loss?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"It doesn’t mention how long you have to use it, but it says that a combination of natural ingredients work together to suppress the appetite, boost the metabolism and burn fat."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,Does it mention what kind of natural ingredients are used to make this product?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"No, it doesn’t."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,"Does it, perhaps, mention the form of this product? Does it come in powder, pills or liquid form?"
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"No, it doesn’t mention that. Although there is a picture of a lady drinking some juice, so maybe it is in liquid form."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,"So you suppose that it is in liquid form, but you are not sure."
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"Yes, I am not sure because it does not write about its form."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,"Okay. Is there any reference to the packaging of the product, where can someone find it or how much does it cost?"
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"No, there is no reference to its packaging or where someone can find it, but it says it is affordable."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,What exactly is the price of this affordable product?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,It doesn’t say.
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,Does it mention any other information concerning consumer safety?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,It just mentions that it is safe.
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,Can you clarify if the product is certified for its safety?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,"No, I can’t."
1,Response,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,0,Why?
1,Context,students,Transform Your Body with the Latest Breakthrough in Weight Loss – SkinnySecretsExposed.com,low,bandwagon,3,3,expert,1,Because there is no reference to it.
